wv_poly_lons,wv_poly_lats
-123.2416667,44.35965278
-123.25,44.35965278
-123.2583333,44.35965278
-123.2666667,44.35965278
-123.2679861,44.35833333
-123.275,44.35131944
-123.2833333,44.35131944
-123.2846528,44.35
-123.2916667,44.34298611
-123.3,44.34298611
-123.3070139,44.35
-123.3070139,44.35833333
-123.3083333,44.35965278
-123.3153472,44.36666667
-123.3083333,44.37368056
-123.3070139,44.375
-123.3,44.38201389
-123.2916667,44.38201389
-123.2833333,44.38201389
-123.275,44.38201389
-123.2736806,44.38333333
-123.2736806,44.39166667
-123.275,44.39298611
-123.2833333,44.39298611
-123.2846528,44.39166667
-123.2916667,44.38465278
-123.2986806,44.39166667
-123.2986806,44.4
-123.2986806,44.40833333
-123.2986806,44.41666667
-123.2916667,44.42368056
-123.2833333,44.42368056
-123.275,44.42368056
-123.2736806,44.425
-123.2666667,44.43201389
-123.2653472,44.43333333
-123.2666667,44.43465278
-123.275,44.43465278
-123.2833333,44.43465278
-123.2916667,44.43465278
-123.2986806,44.44166667
-123.3,44.44298611
-123.3083333,44.44298611
-123.3153472,44.45
-123.3153472,44.45833333
-123.3083333,44.46534722
-123.3,44.46534722
-123.2986806,44.46666667
-123.2986806,44.475
-123.2986806,44.48333333
-123.3,44.48465278
-123.3070139,44.49166667
-123.3,44.49868056
-123.2986806,44.5
-123.2986806,44.50833333
-123.2986806,44.51666667
-123.2916667,44.52368056
-123.2903472,44.525
-123.2833333,44.53201389
-123.2820139,44.53333333
-123.275,44.54034722
-123.2736806,44.54166667
-123.2736806,44.55
-123.275,44.55131944
-123.2833333,44.55131944
-123.2903472,44.55833333
-123.2903472,44.56666667
-123.2833333,44.57368056
-123.2820139,44.575
-123.275,44.58201389
-123.2736806,44.58333333
-123.2666667,44.59034722
-123.2583333,44.59034722
-123.2570139,44.59166667
-123.25,44.59868056
-123.2486806,44.6
-123.2486806,44.60833333
-123.2416667,44.61534722
-123.2333333,44.61534722
-123.225,44.61534722
-123.2236806,44.61666667
-123.2236806,44.625
-123.2166667,44.63201389
-123.2153472,44.63333333
-123.2083333,44.64034722
-123.2,44.64034722
-123.1916667,44.64034722
-123.1903472,44.64166667
-123.1833333,44.64868056
-123.1763194,44.64166667
-123.1833333,44.63465278
-123.1846528,44.63333333
-123.1916667,44.62631944
-123.1929861,44.625
-123.1916667,44.62368056
-123.1833333,44.62368056
-123.175,44.62368056
-123.1736806,44.625
-123.1736806,44.63333333
-123.1666667,44.64034722
-123.1583333,44.64034722
-123.15,44.64034722
-123.1416667,44.64034722
-123.1333333,44.64034722
-123.1320139,44.64166667
-123.125,44.6439538
-123.1166667,44.64868056
-123.1083333,44.64868056
-123.1070139,44.65
-123.1,44.65701389
-123.0929861,44.65
-123.0916667,44.64868056
-123.0833333,44.64868056
-123.0820139,44.65
-123.075,44.65701389
-123.0736806,44.65833333
-123.075,44.65965278
-123.0820139,44.66666667
-123.0833333,44.66798611
-123.0903472,44.675
-123.0916667,44.67631944
-123.1,44.67631944
-123.1083333,44.67631944
-123.1166667,44.67631944
-123.1236806,44.68333333
-123.1236806,44.69166667
-123.125,44.69298611
-123.1320139,44.7
-123.1333333,44.70131944
-123.1416667,44.70131944
-123.1486806,44.70833333
-123.15,44.70965278
-123.1583333,44.70965278
-123.1666667,44.70965278
-123.175,44.70965278
-123.1833333,44.70965278
-123.1903472,44.71666667
-123.1916667,44.71798611
-123.2,44.71798611
-123.2013194,44.71666667
-123.2083333,44.70965278
-123.2153472,44.71666667
-123.2166667,44.71798611
-123.225,44.71798611
-123.2333333,44.71798611
-123.2346528,44.71666667
-123.2416667,44.70965278
-123.25,44.70965278
-123.2570139,44.71666667
-123.2583333,44.71798611
-123.2666667,44.71798611
-123.275,44.71798611
-123.2833333,44.71798611
-123.2916667,44.71798611
-123.2986806,44.725
-123.3,44.72631944
-123.3083333,44.72631944
-123.3153472,44.73333333
-123.3153472,44.74166667
-123.3166667,44.74298611
-123.325,44.74298611
-123.3333333,44.74298611
-123.3403472,44.75
-123.3416667,44.75131944
-123.35,44.75131944
